Name,Education
Nassef Sawiris,"Bachelor of Arts/Science, University of Chicago"
Kushal Pal Singh,"Bachelor of Arts/Science, Delhi University"
Stanley Kroenke,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri"
Niels Peter Louis-Hansen,
Alain Merieux & family,
Andreas von Bechtolsheim & family,"Master of Science, Carnegie Mellon University"
Diane Hendricks,"Diploma, High School"
Shahid Khan,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
Nicky Oppenheimer & family,"Bachelor of Arts/Science, Oxford U Christ Church; Master of Arts, Oxford U Christ Church"
Anthony Bamford & family,"Bachelor of Arts/Science, Grenoble University"
Andrew Beal,"Drop Out, Baylor University"
Dmitry Bukhman,"Master of Science, Vologda State Pedagogical University"
Igor Bukhman,"Master of Science, Vologda State Pedagogical University"
Takahisa Takahara,
Kei Hoi Pang,
Alexei Kuzmichev,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"
John Malone,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University"
Marijke Mars,"Bachelor of Arts/Science, Duke University"
Pamela Mars,"Bachelor of Arts/Science, Vassar College"
Valerie Mars,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University"
Victoria Mars,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University"
Giorgio Armani,"Drop Out, University of Piacenza"
Frederik Paulsen,
David Reuben,
Simon Reuben,"Drop Out, Sir John Cass College, London"
Alexander Abramov,"Bachelor of Arts/Science, Moscow Institute of Physics and Technology"
Rinat Akhmetov,"Bachelor of Arts/Science, Donetsk National University"
Silvio Berlusconi & family,"Doctor of Jurisprudence, University of Milan"
John Grayken,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Pennsylvania"
David Green & family,"Diploma, High School"
George Roberts,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings"
Zhao Yan,"Master of Business Administration, Fordham University"
Nancy Walton Laurie,"Bachelor of Arts/Science, University of Memphis"
Pei Zhenhua,
Ruan Liping,
Ruan Xueping,
Patrick Soon-Shiong,"Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand"
Antonia Ax:son Johnson & family,"Master of Arts, University of Stockholm"
"Ernest Garcia, III.","Bachelor of Science, Stanford University"
George Lucas,"Bachelor of Arts/Science, University of Southern California"
Vicky Safra,
Zhang Jindong,"Bachelor of Arts/Science, Nanjing Normal University"
Laurent Dassault,"Associate in Arts/Science, Ecole Superieure Libre Des Sciences Commerciales Appliquees"
Thierry Dassault,
Marie-Hélène Habert,"Master, Sciences Po"
Henry Kravis,"Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School"
Lai Meisong,
Sandra Ortega Mera,
Pham Nhat Vuong,
David Shaw,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, San Diego"
Rocco Commisso,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Columbia University"
Michael Kadoorie,
Bernard Marcus,"Bachelor of Arts/Science, Rutgers University"
Manuel Villar,
Christy Walton,
Wang Zhenhua,"Master of Business Administration, Macau University"
Carl Bennet,"Master of Business Administration, University of Gothenburg"
Rahel Blocher,
Johann Graf,
Ralph Lauren,"Drop Out, City University of New York City College; Diploma, High School"
Li Hua,
Magdalena Martullo-Blocher,
Stewart and Lynda Resnick,
Johann Rupert & family,
Safra siblings,
Anthony Wood,"Bachelor of Science in Engineering, Texas A&M University"
Gang Ye,"Bachelor of Science, Cornell University"
Igor Altushkin,"Bachelor of Arts/Science, Ekaterinburg Institute of Economics"
Bajaj brothers,
Juan Francisco Beckmann Vidal & family,
Alexandre Behring,"EMBA, Harvard University"
Vincent Bolloré & family,"LLB, Universite Paris X Nanterre"
Gustaf Douglas,"Master of Business Administration, Harvard University"
Terry Gou,Taipei University of Marine Technology
"Paul Tudor Jones, II.","Bachelor of Arts/Science, University of Virginia"
Richard Kinder,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri"
Ludwig Merckle,
